2018-12-05 00:06:38.674229,20.13 C,1022.39 hPA,47.41 %RH
2018-12-05 00:06:39.714394,20.06 C,1022.42 hPA,47.43 %RH
2018-12-05 00:06:40.754594,20.00 C,1022.40 hPA,47.46 %RH
2018-12-05 00:06:41.798277,19.93 C,1022.40 hPA,47.46 %RH
2018-12-05 00:06:42.838342,19.86 C,1022.38 hPA,47.50 %RH
2018-12-05 00:06:43.878249,19.79 C,1022.41 hPA,47.54 %RH
2018-12-05 00:06:44.918508,19.73 C,1022.38 hPA,47.59 %RH
2018-12-05 00:06:45.958510,19.66 C,1022.41 hPA,47.69 %RH
2018-12-05 00:06:47.001961,19.59 C,1022.38 hPA,47.78 %RH
2018-12-05 00:06:48.042340,19.53 C,1022.41 hPA,47.90 %RH
2018-12-05 00:06:49.085542,19.47 C,1022.42 hPA,48.01 %RH
2018-12-05 00:06:50.125825,19.41 C,1022.42 hPA,48.11 %RH
2018-12-05 00:06:51.166104,19.34 C,1022.41 hPA,48.22 %RH
2018-12-05 00:06:52.212311,19.27 C,1022.40 hPA,48.32 %RH
2018-12-05 00:06:53.252601,19.21 C,1022.41 hPA,48.41 %RH
2018-12-05 00:06:54.292544,19.16 C,1022.41 hPA,48.52 %RH
2018-12-05 00:06:55.334068,19.11 C,1022.42 hPA,48.60 %RH
2018-12-05 00:06:56.373826,19.06 C,1022.43 hPA,48.65 %RH
2018-12-05 00:06:57.416048,19.01 C,1022.43 hPA,48.75 %RH
2018-12-05 00:06:58.456144,18.95 C,1022.44 hPA,48.81 %RH
2018-12-05 00:06:59.496073,18.90 C,1022.41 hPA,48.86 %RH
2018-12-05 00:07:00.536631,18.85 C,1022.43 hPA,48.91 %RH
2018-12-05 00:07:01.576788,18.79 C,1022.44 hPA,48.96 %RH
2018-12-05 00:07:02.617615,18.74 C,1022.44 hPA,49.00 %RH
2018-12-05 00:07:03.658233,18.69 C,1022.43 hPA,49.02 %RH
2018-12-05 00:07:04.698317,18.64 C,1022.40 hPA,49.05 %RH
2018-12-05 00:07:05.738572,18.60 C,1022.42 hPA,49.11 %RH
2018-12-05 00:07:06.778874,18.55 C,1022.43 hPA,49.16 %RH
2018-12-05 00:07:07.821834,18.50 C,1022.43 hPA,49.21 %RH
2018-12-05 00:07:08.863270,18.46 C,1022.42 hPA,49.28 %RH
2018-12-05 00:07:09.921508,18.42 C,1022.42 hPA,49.34 %RH
2018-12-05 00:07:10.961393,18.39 C,1022.42 hPA,49.42 %RH
2018-12-05 00:07:12.001755,18.36 C,1022.44 hPA,49.52 %RH
2018-12-05 00:07:13.045820,18.35 C,1022.40 hPA,49.62 %RH
2018-12-05 00:07:14.085841,18.35 C,1022.39 hPA,49.77 %RH
2018-12-05 00:07:15.125913,18.36 C,1022.38 hPA,49.90 %RH
2018-12-05 00:07:16.166620,18.37 C,1022.41 hPA,50.04 %RH
2018-12-05 00:07:17.206803,18.38 C,1022.43 hPA,50.19 %RH
2018-12-05 00:07:18.250177,18.36 C,1022.43 hPA,50.33 %RH
2018-12-05 00:07:19.290278,18.33 C,1022.40 hPA,50.40 %RH
2018-12-05 00:07:20.330205,18.31 C,1022.41 hPA,50.48 %RH
2018-12-05 00:07:21.370352,18.29 C,1022.43 hPA,50.53 %RH
2018-12-05 00:07:22.410542,18.26 C,1022.42 hPA,50.55 %RH
2018-12-05 00:07:23.457670,18.23 C,1022.44 hPA,50.58 %RH
2018-12-05 00:07:24.498498,18.20 C,1022.42 hPA,50.57 %RH
2018-12-05 00:07:25.538761,18.16 C,1022.41 hPA,50.54 %RH
2018-12-05 00:07:26.578935,18.14 C,1022.43 hPA,50.53 %RH
2018-12-05 00:07:27.619120,18.11 C,1022.44 hPA,50.52 %RH
2018-12-05 00:07:28.659368,18.09 C,1022.45 hPA,50.56 %RH
